timestamp, uuid, name, clocks.current.graphics [MHz], clocks.current.memory [MHz], clocks.max.graphics [MHz], temperature.gpu, power.draw [W], power.limit [W], utilization.gpu [%], utilization.memory [%], clocks_event_reasons.gpu_idle, clocks_event_reasons.sw_power_cap, clocks_event_reasons.hw_slowdown, clocks_event_reasons.hw_thermal_slowdown, clocks_event_reasons.sw_thermal_slowdown, clocks_event_reasons.active
2026/09/15 10:34:27.951, GPU-5b052ad1-4272-40db-4b25-c930bf32b547, NVIDIA GeForce RTX 4090, 2445 MHz, 10251 MHz, 3105 MHz, 75, 448.87 W, 450.00 W, 100 %, 22 %, Not Active, Active, Not Active, Not Active, Not Active, 0x0000000000000004
2026/09/15 10:34:32.962, GPU-5b052ad1-4272-40db-4b25-c930bf32b547, NVIDIA GeForce RTX 4090, 2460 MHz, 10251 MHz, 3105 MHz, 75, 448.96 W, 450.00 W, 100 %, 22 %, Not Active, Active, Not Active, Not Active, Not Active, 0x0000000000000004
2026/09/15 10:34:37.978, GPU-5b052ad1-4272-40db-4b25-c930bf32b547, NVIDIA GeForce RTX 4090, 2445 MHz, 10251 MHz, 3105 MHz, 75, 449.59 W, 450.00 W, 100 %, 22 %, Not Active, Active, Not Active, Not Active, Not Active, 0x0000000000000004
2026/09/15 10:34:42.981, GPU-5b052ad1-4272-40db-4b25-c930bf32b547, NVIDIA GeForce RTX 4090, 2445 MHz, 10251 MHz, 3105 MHz, 75, 449.19 W, 450.00 W, 100 %, 22 %, Not Active, Active, Not Active, Not Active, Not Active, 0x0000000000000004
2026/09/15 10:34:47.996, GPU-5b052ad1-4272-40db-4b25-c930bf32b547, NVIDIA GeForce RTX 4090, 2445 MHz, 10251 MHz, 3105 MHz, 75, 448.74 W, 450.00 W, 100 %, 22 %, Not Active, Active, Not Active, Not Active, Not Active, 0x0000000000000004
2026/09/15 10:34:53.012, GPU-5b052ad1-4272-40db-4b25-c930bf32b547, NVIDIA GeForce RTX 4090, 2445 MHz, 10251 MHz, 3105 MHz, 75, 449.14 W, 450.00 W, 100 %, 22 %, Not Active, Active, Not Active, Not Active, Not Active, 0x0000000000000004
2026/09/15 10:34:58.027, GPU-5b052ad1-4272-40db-4b25-c930bf32b547, NVIDIA GeForce RTX 4090, 2445 MHz, 10251 MHz, 3105 MHz, 76, 450.36 W, 450.00 W, 100 %, 22 %, Not Active, Active, Not Active, Not Active, Not Active, 0x0000000000000004
2026/09/15 10:35:03.040, GPU-5b052ad1-4272-40db-4b25-c930bf32b547, NVIDIA GeForce RTX 4090, 2445 MHz, 10251 MHz, 3105 MHz, 76, 449.15 W, 450.00 W, 100 %, 22 %, Not Active, Active, Not Active, Not Active, Not Active, 0x0000000000000004
2026/09/15 10:35:08.054, GPU-5b052ad1-4272-40db-4b25-c930bf32b547, NVIDIA GeForce RTX 4090, 2445 MHz, 10251 MHz, 3105 MHz, 76, 448.90 W, 450.00 W, 100 %, 22 %, Not Active, Active, Not Active, Not Active, Not Active, 0x0000000000000004
2026/09/15 10:35:13.060, GPU-5b052ad1-4272-40db-4b25-c930bf32b547, NVIDIA GeForce RTX 4090, 2445 MHz, 10251 MHz, 3105 MHz, 76, 449.36 W, 450.00 W, 100 %, 22 %, Not Active, Active, Not Active, Not Active, Not Active, 0x0000000000000004
2026/09/15 10:35:18.064, GPU-5b052ad1-4272-40db-4b25-c930bf32b547, NVIDIA GeForce RTX 4090, 2460 MHz, 10251 MHz, 3105 MHz, 76, 449.93 W, 450.00 W, 100 %, 22 %, Not Active, Active, Not Active, Not Active, Not Active, 0x0000000000000004
2026/09/15 10:35:23.077, GPU-5b052ad1-4272-40db-4b25-c930bf32b547, NVIDIA GeForce RTX 4090, 2445 MHz, 10251 MHz, 3105 MHz, 76, 449.38 W, 450.00 W, 100 %, 22 %, Not Active, Active, Not Active, Not Active, Not Active, 0x0000000000000004
2026/09/15 10:35:28.079, GPU-5b052ad1-4272-40db-4b25-c930bf32b547, NVIDIA GeForce RTX 4090, 2445 MHz, 10251 MHz, 3105 MHz, 76, 449.79 W, 450.00 W, 100 %, 22 %, Not Active, Active, Not Active, Not Active, Not Active, 0x0000000000000004
2026/09/15 10:35:33.091, GPU-5b052ad1-4272-40db-4b25-c930bf32b547, NVIDIA GeForce RTX 4090, 2445 MHz, 10251 MHz, 3105 MHz, 75, 448.87 W, 450.00 W, 100 %, 22 %, Not Active, Active, Not Active, Not Active, Not Active, 0x0000000000000004
2026/09/15 10:35:38.094, GPU-5b052ad1-4272-40db-4b25-c930bf32b547, NVIDIA GeForce RTX 4090, 2445 MHz, 10251 MHz, 3105 MHz, 75, 449.28 W, 450.00 W, 100 %, 22 %, Not Active, Active, Not Active, Not Active, Not Active, 0x0000000000000004
2026/09/15 10:35:43.110, GPU-5b052ad1-4272-40db-4b25-c930bf32b547, NVIDIA GeForce RTX 4090, 2445 MHz, 10251 MHz, 3105 MHz, 76, 449.02 W, 450.00 W, 100 %, 22 %, Not Active, Active, Not Active, Not Active, Not Active, 0x0000000000000004
2026/09/15 10:35:48.112, GPU-5b052ad1-4272-40db-4b25-c930bf32b547, NVIDIA GeForce RTX 4090, 2445 MHz, 10251 MHz, 3105 MHz, 76, 450.12 W, 450.00 W, 100 %, 22 %, Not Active, Active, Not Active, Not Active, Not Active, 0x0000000000000004
